name,common name
physocarpus opulifolius petite plum, ninebark [petite plum]
poipd2, ninebark [petite plum]
rosa, modern shrub rose
à longs pédoncules, moss rose
a. mackenzie, shrub rose
adam, tea rose
agathe incarnata, hybrid gallica rose
agnes, hybrid rugosa rose
agrestis, species rose
× alba semi-plena, alba rose
alba suaveolens, alba rose
albéric barbier, hybrid wichurana rose
albertine, hybrid wichurana rose
alchymist, shrub rose
alecs red, hybrid tea rose
alexandre girault, climbing rose
alfred de dalmas, moss rose
alice vena, gallica rose
alika, gallica rose
alister stella gray, noisette rose
all the rage, shrub rose
alnwick castle, shrub rose
ausgrab, shrub rose
aloha, climbing hybrid tea rose
altissimo, large-flowered climbing rose
amaretto, large-flowered climbing rose
korlougel (pbr), large-flowered climbing rose
american pillar, hybrid wichurana rose
anaïs ségales, gallica rose
anemone, hybrid setigera rose
angela lansbury, hybrid tea rose
anne belovich, hybrid wichurana rose
apart, hybrid rugosa rose
apple blossom, hybrid multiflora
applejack, shrub rose
apricot drift, shrub rose
meimirrote, shrub rose
apricot nectar, floribunda rose
aptos, hybrid musk rose
letrob, hybrid musk rose
archbishop desmond tutu, floribunda rose
archduke charles, china rose
armide, alba rose
arvensis, field rose
ascot, grandiflora rose
asta von parpart, hybrid multiflora rose
at last, floribunda rose
athena, hybrid tea rose
rühkor, hybrid tea rose
auguste gervais, large-flowered climber rose
auguste renoir, hybrid tea rose
aunt louisa, found rose
autumn damask, damask rose
aviateur blériot, hybrid wichurana rose
awakening, large-flowered climber rose
aztec, hybrid tea rose
baby blaze, floribunda rose
baby faurax, polyantha rose
ballerina, hybrid musk rose
baltimore belle pink variety, found rose
banksiae, banksian rose
banksiae f. lutea, lady banks rose
banshee phoebe doane, found rose
baronne edmond de rothschild, hybrid tea rose
meigriso, hybrid tea rose
basyes purple rose, hybrid rugosa rose
batys pink pillar, large-flowered climbing rose
beauté inconstante, tea rose
belinda, hybrid musk rose
belindas dream, shrub rose
belle herminie, gallica rose
belle poitevine, hybrid rugosa rose
benjamin britten, shrub rose
ausencart, shrub rose
bennetts seedling, ayrshire rose
bermudas kathleen, found rose
berolina, hybrid tea rose
korpriwa, hybrid tea rose
betty prior, floribunda rose
betty white, hybrid tea rose
meiceppus, hybrid tea rose
beverly, hybrid tea rose
korpauvio, hybrid tea rose
black forest rose, floribunda rose
blairii no. 2, hybrid china rose
blanche de belgique, alba rose
blanda, hudson bay rose
blanda var. blanda, species rose
blaze, large-flowered climber rose
bliss parfuma, floribunda rose
kormarzau, floribunda rose
bloomfield abundance, floribunda rose
bloomfield courage, hybrid wichurana rose
blossomtime, large-flowered climber rose
blue moon, hybrid tea rose
blush noisette, noisette rose
bob hope, hybrid tea rose
bobbie james, hybrid wichurana rose
borderer, polyantha rose
boscobel, shrub rose
botzaris, damask rose
bougainville, noisette rose
bouquet parfait, hybrid musk rose
bouquet tout fait, noisette rose
bracteata, macartney rose
bredon, shrub rose
breeze hill, hybrid wichurana rose
bremo musk, 
brick house, floribunda rose
brides dream, hybrid tea rose
brilliant veranda, floribunda rose
bubble bath, hybrid musk rose
buff beauty, hybrid musk rose
buffalo gal, hybrid rugosa rose
buffy sainte-marie, hybrid tea rose
burgundian rose, centifolia rose
cadenza, large-flowered climbing rose
caldwell pink, china rose
calocarpa, hybrid rugosa rose
canary bird, shrub rose
canary island, hybrid gallica rose
canina, dog rose
capitaine basroger, moss rose
capitaine john ingram, moss rose
cardinal de richelieu, gallica rose
carefree delight, shrub rose
carefree spirit, shrub rose
carefree sunshine, shrub rose
carolina morn, found rose
caroline marniesse, noisette rose
catherine guillot, bourbon rose
celsiana, damask rose
centenaire de lourdes, floribunda rose
cerise bouquet, shrub rose
české práci čest, large flowered climber
champneys pink cluster, noisette rose
charity, shrub rose
charles albanel, hybrid rugosa rose
charles darwin, shrub rose
auspeet (pbr), shrub rose
charles lawson, bourbon rose
charlotte armstrong, hybrid tea rose
cherry float, climbing rose
jacjaromy, climbing rose
cherry lady, hybrid tea rose
korladcher (pbr), hybrid tea rose
chevy chase, hybrid multiflora rose
chloris, alba rose
chrysler imperial, hybrid tea rose
chuckles, floribunda rose
cinderella, hybrid wichurana
cinderella fairy tale, shrub rose
city of leeds, floribunda rose
city of york, large-flowered climber rose
clair matin, large-flowered climbing rose
meimont, large-flowered climbing rose
climbing american beauty, large-flowered climbing rose
climbing belindas dream, large-flowered climbing rose
climbing gruss an aachen, climbing floribunda rose
climbing iceberg, climbing floribunda rose
climbing mlle cécile brünner, climbing polyantha rose
climbing pinkie, climbing polyantha rose
climbing souvenir de la malmaison, climbing bourbon rose
climbing white eden, large-flowered climbing rose
clio, hybrid perpetual rose
clotilde soupert, polyantha rose
cloud 10, large-flowered climber rose
radclean, large-flowered climber rose
clytemnestra, hybrid musk rose
compassion, large-flowered climbing rose
complicata, gallica rose
comtesse de murinais, moss rose
comtesse de provence, hybrid tea rose
comtesse du caÿla, china rose
comtesse festetics hamilton, tea rose
conrad ferdinand meyer, hybrid rugosa rose
coquette des blanches, bourbon rose
coral drift, shrub rose
coral knock out, shrub rose
radral, shrub rose
cornelia, hybrid musk rose
coronation, hybrid wichurana rose
corsage, floribunda rose
country doctor, hybrid tea rose
cream veranda, floribunda rose
korfloci01, floribunda rose
crescendo, hybrid tea rose
jacgemze, hybrid tea rose
crested moss, moss rose
crimson glory, hybrid tea rose
crocus rose, shrub rose
cubana, shrub rose
cymosa, species rose
dakota sun, shrub rose
daksun, shrub rose
dancing in the dark, hybrid tea rose
delchifrou (pbr), hybrid tea rose
darcey bussell, shrub rose
dark desire, grandiflora rose
darlows enigma, hybrid musk rose
david thompson, hybrid rugosa rose
davidii var. elongata, rose
davurica, species rose
daybreak, hybrid musk rose
de candolle, 
dee-lish, hybrid tea rose
derek nimmo, hybrid tea rose
desdemona, shrub rose
auskindling (pbr), shrub rose
deuil de paul fontaine, moss rose
dick clark, grandiflora rose
wekfunk, grandiflora rose
dick koster, polyantha rose
dicksons red, hybrid tea rose
doctor w. van fleet, large-flowered climber rose
dominie sampson, hybrid spinosissima rose
don juan, large-flowered climbing rose
donau!, hybrid wichurana rose
dortmund, kordesii rose
double brique, gallica rose
double delight, hybrid tea rose
dove, shrub rose
dr brownell, hybrid tea rose
dr e.m. mills, hybrid hugonis rose
dublin bay, large-flowered climbing rose
duc de fitzjames, gallica rose
duchesse de brabant, tea rose
duchesse de rohan, hybrid perpetual rose
duplex, old garden rose
dupontii, dupont rose
earl of dufferin, hybrid perpetual rose
earth angel, floribunda rose
korgeowim (pbr), floribunda rose
easy does it, floribunda rose
eddies crimson, hybrid moyesii rose
edmond proust, large-flowered climbing rose
eglantyne, shrub rose
ausmak, shrub rose
electron, hybrid tea rose
elegant fairy tale, shrub rose
elegant gallica, found gallica rose
elie beauvillain, noisette rose
elina, hybrid tea rose
dicjana, hybrid tea rose
eliza, hybrid tea rose
korlis, hybrid tea rose
elle, hybrid tea rose
meibderos (pbr), hybrid tea rose
emily, hybrid tea rose
empereur du maroc, hybrid perpetual rose
enchanter, tea rose
enfant de france, hybrid perpetual rose
erfurt, hybrid musk rose
eric tabarly, large-flowered climbing rose
meidrason, large-flowered climbing rose
ernst dorell, hybrid multiflora rose
ethel, hybrid wichurana rose
eugène verdier, moss rose
eugénie guinoiseau, moss rose
europeana, floribunda rose
eutin, floribunda rose
evangeline, hybrid wichurana rose
excellenz von schubert, polyantha rose
excelsa, hybrid wichurana rose
faded pink monthly, found rose
faint heart, hybrid tea rose
fantin-latour, centifolia rose
fedtschenkoana, species rose
felicia, hybrid musk rose
félicité-perpétue, hybrid sempervirens rose
fellenberg, china rose
filipes kiftsgate, species rose
fimbriata, hybrid rugosa rose
fire opal, floribunda rose
korumneza, floribunda rose
firefighter, hybrid tea rose
oradal, hybrid tea rose
first crush, hybrid tea rose
fisher holmes, hybrid perpetual rose
f.j. grootendorst, hybrid rugosa rose
flaming peace, hybrid tea rose
florentina, large-flowered climber rose
kortrameilo (pbr), large-flowered climber rose
flower carpet amber, shrub rose
sedana, shrub rose
flower carpet pink, shrub rose
noatraum, shrub rose
flower carpet red, floribunda rose
noafeuer, floribunda rose
flower carpet white, floribunda rose
noaschnee, floribunda rose
flower carpet yellow, shrub rose
noason, shrub rose
foetida persiana, persian double yellow
foliaceé, centifolia rose
foliolosa, white prairie rose
folklore, hybrid tea rose
folksinger, shrub rose
forstmeisters heim, hybrid setigera rose
× fortuniana, miscellaneous old garden rose
fragrant hour, hybrid tea rose
fragrant plum, hybrid tea rose
francis dubreuil, tea rose
francis e. lester, hybrid musk rose
francis meilland, hybrid tea rose
françois foucard, hybrid wichurana
frasers pink musk, noisette rose
frau karl druschki, hybrid tea rose
freckles, shrub rose
fred loads, shrub rose
frederic mistral, hybrid tea rose frederic mistral
meitebros, hybrid tea rose frederic mistral
freifrau von marschall, hybrid wichurana rose
frühlingsanfang, hybrid spinosissima rose
frühlingsgold, hybrid spinosissima rose
frühlingsschnee, hybrid spinosissima rose
gallica, french rose
gallica var. officinalis, apothecary's rose
gallica versicolor, gallica rose
galway bay, large-flowered climbing rose
macba, large-flowered climbing rose
gardenia, hybrid wichurana rose
gärtnerfreude, shrub rose
korstesgli, shrub rose
gemini, hybrid tea rose
jacnepal, hybrid tea rose
général kléber, moss rose
général schablikine, tea rose
general washington, hybrid perpetual rose
gentle hermione, shrub rose
geoff hamilton, shrub rose
gertrude jekyll, shrub rose
ausbord, shrub rose
geschwinds nordlandrose i, hybrid multiflora rose
geschwinds orden, hybrid multiflora rose
geschwinds schönste, hybrid multiflora rose
ghislaine de féligonde, rambler rose
gilda, hybrid multiflora
ginger rogers, hybrid tea rose
glabrifolia, species rose
glauca, red-leaved rose
glenn dale, hybrid wichurana rose
gloire de guilan, damask rose
gloire des mousseuses, moss rose
gold medal, grandiflora rose
aroyqueli, grandiflora rose
golden celebration, shrub rose
golden fairy tale, hybrid tea rose
golden gate, large flowered climber
golden jubilee, floribunda rose
golden opportunity, large-flowered climber rose
wekausujucton, large-flowered climber rose
goldfinch, hybrid multiflora rose
goldstar, hybrid tea rose
good show, floribunda rose
gourdault, bourbon rose
gourmet popcorn, miniature rose
weopop, miniature rose
grace darling, tea rose
grande amore, hybrid tea rose
grande dame, hybrid tea rose
grandmas hat, hybrid perpetual found rose
gravin michel dursel, hybrid musk rose
great maidens blush, alba rose
great western, bourbon rose
green rose, china rose
gros choux dhollande, centifolia rose
gruss an aachen, floribunda rose
gruss an germershausen, hybrid multiflora
gruss an teplitz, china rose
haidee, hybrid spinosissima rose
harisons yellow, hybrid foetida rose
harlekin, large-flowered climbing rose
harlow carr, shrub rose
haywood hall, noisette rose
hébés lip, eglanteria rose
hector deane, hybrid tea rose
heinrich karsch, polyantha rose
henri barruet, hybrid wichurana rose
henri foucquier, gallica rose
henri martin, moss rose
henry hudson, hybrid rugosa rose
heritage, shrub rose
ausblush, shrub rose
hi, neighbor, grandiflora rose
hiawatha, hybrid multiflora rose
hibernica, hybrid spinosissima rose
high voltage, shrub rose
baiage, shrub rose
highwire flyer, climber rose
radwire, climber rose
himmelsauge, hybrid setigera rose
hippolyte, gallica rose
home run, modern shrub rose
wekcisbako, modern shrub rose
honey perfume, floribunda rose
